study	subject	n	intervention	substance	measurement	tissue	mean	mean_pm	mean_se	mean_sd	time	time_unit	mean_unit
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	5.762953481568168e-06	3.6468775	4.9066705675833825e-06	1.3878160125546633e-05	20	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	1.671485547103569e-05	8.523731	8.222918080748975e-06	2.3257924544156292e-05	25	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	2.6334207138677588e-05	11.696300500000001	7.885513458162667e-06	2.2303600157618433e-05	35	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	2.928773259215916e-05	11.897527	5.520713867758923e-06	1.5614936851531804e-05	45	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	3.2757527794031595e-05	12.781419999999999	4.6369133996489175e-06	1.3115171634666092e-05	60	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	2.699672322995904e-05	10.176077000000001	2.77529842012873e-06	7.849729330757343e-06	90	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	2.38404242246928e-05	9.038319	2.602873025160913e-06	7.362036666635284e-06	120	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	1.257655207723815e-05	4.659441	1.055516383850205e-06	2.985451170695934e-06	150	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	9.131903159742541e-06	3.58374	1.3530002925687538e-06	3.8268627272909894e-06	180	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	7.266292276184904e-06	2.802755	9.336930953774136e-07	2.6408828771537073e-06	240	min	mole/meter^3
Mandema1992	all	8	po_mid	1-hydroxymidazolam	concentration	plasma	4.3482153306026915e-06	1.6627854	5.165751901696899e-07	1.4610952798468726e-06	300	min	mole/meter^3
